,year,month,day,yield_week_pc
310,2007,1,12,0.029650459066033363
311,2007,1,19,0.02941800281405449
312,2007,1,26,0.02867645025253296
313,2007,2,2,0.027850501239299774
314,2007,2,9,0.02650480717420578
315,2007,2,16,0.026313532143831253
316,2007,2,23,0.02596316486597061
317,2007,3,2,0.027186274528503418
318,2007,3,9,0.02770867571234703
319,2007,3,16,0.02768106758594513
320,2007,3,23,0.026784630492329597
321,2007,3,30,0.026735320687294006
322,2007,4,5,0.028908420354127884
323,2007,4,13,0.02844049036502838
324,2007,4,20,0.02766006998717785
325,2007,4,27,0.027434436604380608
326,2007,5,4,0.02721443958580494
327,2007,5,11,0.026608839631080627
328,2007,5,18,0.026218431070446968
329,2007,5,25,0.026046421378850937
330,2007,6,1,0.025528578087687492
331,2007,6,8,0.024500122293829918
332,2007,6,15,0.02427404560148716
333,2007,6,22,0.023803705349564552
334,2007,6,29,0.02400144748389721
335,2007,7,6,0.024047542363405228
336,2007,7,13,0.02361447364091873
337,2007,7,20,0.023580443114042282
338,2007,7,27,0.02511272206902504
339,2007,8,3,0.02579023689031601
340,2007,8,10,0.02607414871454239
341,2007,8,17,0.028107011690735817
342,2007,8,24,0.027448873966932297
343,2007,8,31,0.02661270834505558
344,2007,9,6,0.024804700165987015
345,2007,9,14,0.025455202907323837
346,2007,9,21,0.02450694516301155
347,2007,9,28,0.023291809484362602
348,2007,10,5,0.023210709914565086
349,2007,10,11,0.022736022248864174
350,2007,10,19,0.023144815117120743
351,2007,10,26,0.02306039072573185
352,2007,11,1,0.022329039871692657
353,2007,11,9,0.022462906315922737
354,2007,11,16,0.022800037637352943
355,2007,11,23,0.02373656816780567
356,2007,11,30,0.02346869558095932
357,2007,12,7,0.02084995247423649
358,2007,12,14,0.02096807025372982
359,2007,12,21,0.021761953830718994
360,2007,12,28,0.021080555394291878
361,2008,1,4,0.019879041239619255
362,2008,1,11,0.020040666684508324
363,2008,1,18,0.02120891958475113
364,2008,1,24,0.02257537841796875
365,2008,2,1,0.020628690719604492
366,2008,2,8,0.019579468294978142
367,2008,2,15,0.01882649026811123
368,2008,2,22,0.018226556479930878
369,2008,2,29,0.017854509875178337
370,2008,3,7,0.018437638878822327
371,2008,3,14,0.018980015069246292
372,2008,3,20,0.01971565932035446
373,2008,3,28,0.019505726173520088
374,2008,4,4,0.019695287570357323
375,2008,4,11,0.019755123183131218
376,2008,4,18,0.019753001630306244
377,2008,4,25,0.019381273537874222
378,2008,5,2,0.018543513491749763
379,2008,5,9,0.017012944445014
380,2008,5,16,0.01670132204890251
381,2008,5,23,0.016389813274145126
382,2008,5,30,0.01649433933198452
383,2008,6,6,0.016441363841295242
384,2008,6,13,0.01703481562435627
385,2008,6,20,0.017296377569437027
386,2008,6,27,0.017907867208123207
387,2008,7,4,0.019143112003803253
388,2008,7,11,0.019788866862654686
389,2008,7,18,0.019480202347040176
390,2008,7,25,0.01988702267408371
391,2008,8,1,0.020192964002490044
392,2008,8,8,0.021041251718997955
393,2008,8,15,0.021869704127311707
394,2008,8,22,0.021859196946024895
395,2008,8,29,0.021696943789720535
396,2008,9,5,0.02312365733087063
397,2008,9,12,0.02417580783367157
398,2008,9,19,0.02523580566048622
399,2008,9,26,0.02491946704685688
400,2008,10,3,0.02926635555922985
401,2008,10,10,0.03760857880115509
402,2008,10,17,0.03751757740974426
403,2008,10,24,0.04034106805920601
404,2008,10,31,0.04179925471544266
405,2008,11,7,0.03823554888367653
406,2008,11,14,0.03949999809265137
407,2008,11,21,0.041685719043016434
408,2008,11,28,0.039536479860544205
409,2008,12,5,0.03750890493392944
410,2008,12,12,0.03472789004445076
411,2008,12,19,0.034428201615810394
412,2008,12,26,0.03647301346063614
413,2009,1,2,0.034693118184804916
414,2009,1,9,0.03043096698820591
415,2009,1,16,0.03192548081278801
416,2009,1,23,0.03292766213417053
417,2009,1,30,0.03247003257274628
418,2009,2,6,0.031255170702934265
419,2009,2,13,0.030664213001728058
420,2009,2,20,0.03136509656906128
421,2009,2,27,0.032385073602199554
422,2009,3,6,0.03475193679332733
423,2009,3,13,0.03361192345619202
424,2009,3,20,0.032454196363687515
425,2009,3,27,0.030967332422733307
426,2009,4,3,0.03278306499123573
427,2009,4,9,0.03276274353265762
428,2009,4,17,0.03223937377333641
429,2009,4,24,0.03226855397224426
430,2009,4,30,0.03142457455396652
431,2009,5,8,0.03158481791615486
432,2009,5,15,0.032286688685417175
433,2009,5,22,0.03153928741812706
434,2009,5,29,0.03072012960910797
435,2009,6,5,0.02943832240998745
436,2009,6,12,0.02950248494744301
437,2009,6,19,0.03047763556241989
438,2009,6,26,0.030841408297419548
439,2009,7,3,0.030364640057086945
440,2009,7,10,0.031183496117591858
441,2009,7,17,0.030630068853497505
442,2009,7,24,0.02931169979274273
443,2009,7,31,0.02863074280321598
444,2009,8,7,0.028884373605251312
