,year,month,day,week_si
129,2015,7,17,0.018424447774887085
130,2015,7,24,0.018527156114578246
131,2015,7,31,0.018637548685073852
132,2015,8,6,0.01862457990646362
133,2015,8,14,0.019027142524719237
134,2015,8,21,0.020000383853912354
135,2015,8,28,0.020552332401275634
136,2015,9,4,0.02052095651626587
137,2015,9,11,0.020939712524414063
138,2015,9,18,0.02034621238708496
139,2015,9,25,0.02003260135650635
140,2015,10,2,0.020458018779754637
141,2015,10,9,0.020394649505615235
142,2015,10,16,0.021011643409729004
143,2015,10,23,0.020638070106506347
144,2015,10,30,0.020241897106170654
145,2015,11,6,0.019414339065551758
146,2015,11,13,0.01925808310508728
147,2015,11,19,0.019323229789733887
148,2015,11,27,0.01963827610015869
149,2015,12,4,0.019929356575012207
150,2015,12,11,0.01960278272628784
151,2015,12,18,0.019237323999404907
152,2015,12,23,0.019317176342010498
153,2015,12,30,0.018978523015975954
154,2016,1,8,0.018558056354522706
155,2016,1,15,0.019739840030670166
156,2016,1,22,0.02021698236465454
157,2016,1,29,0.02171194314956665
158,2016,2,4,0.022209467887878417
159,2016,2,12,0.021391110420227052
160,2016,2,19,0.020541632175445558
161,2016,2,26,0.020121171474456787
162,2016,3,4,0.020602409839630128
163,2016,3,11,0.021495285034179686
164,2016,3,18,0.02036750316619873
165,2016,3,24,0.020671868324279787
166,2016,4,1,0.01944856882095337
167,2016,4,8,0.01994471311569214
168,2016,4,15,0.019975736141204833
169,2016,4,22,0.019001717567443847
170,2016,4,29,0.01750617742538452
171,2016,5,6,0.01799244523048401
172,2016,5,13,0.01797482967376709
173,2016,5,20,0.017878645658493043
174,2016,5,27,0.016678966283798217
175,2016,6,3,0.016788603067398072
176,2016,6,10,0.01764136552810669
177,2016,6,17,0.018112325668334962
178,2016,6,24,0.0203202486038208
179,2016,7,1,0.02082595109939575
180,2016,7,8,0.02232187509536743
181,2016,7,15,0.022357282638549806
182,2016,7,22,0.022354443073272705
183,2016,7,29,0.021246964931488036
184,2016,8,5,0.021681406497955323
185,2016,8,12,0.021518354415893556
186,2016,8,19,0.02083388328552246
187,2016,8,26,0.019335681200027467
188,2016,9,1,0.018854212760925294
189,2016,9,9,0.01795368194580078
190,2016,9,16,0.01866505742073059
191,2016,9,23,0.018434334993362427
192,2016,9,30,0.01810181260108948
193,2016,10,7,0.017618945837020873
194,2016,10,14,0.018067336082458495
195,2016,10,21,0.01774343490600586
196,2016,10,28,0.01683197498321533
197,2016,11,4,0.017315913438796997
198,2016,11,11,0.01702092409133911
199,2016,11,18,0.016651793718338012
200,2016,11,25,0.01583246946334839
201,2016,12,2,0.016223485469818114
202,2016,12,9,0.016887736320495606
203,2016,12,16,0.017072157859802248
204,2016,12,23,0.017623043060302733
205,2016,12,29,0.01806937575340271
206,2017,1,6,0.018195765018463136
207,2017,1,13,0.017332544326782228
208,2017,1,20,0.0178932523727417
209,2017,1,27,0.017201184034347533
210,2017,2,3,0.01686251401901245
211,2017,2,10,0.017399141788482664
212,2017,2,17,0.016547359228134155
213,2017,2,24,0.015939247608184815
214,2017,3,3,0.015642621517181397
215,2017,3,10,0.015924968719482423
216,2017,3,17,0.01545055627822876
217,2017,3,24,0.0147019624710083
218,2017,3,31,0.014132392406463624
219,2017,4,7,0.01469164490699768
220,2017,4,13,0.014784667491912842
221,2017,4,20,0.014873863458633422
222,2017,4,28,0.013325824737548828
223,2017,5,5,0.012751152515411377
224,2017,5,12,0.012760293483734132
225,2017,5,19,0.012846976518630981
226,2017,5,26,0.01308141827583313
227,2017,6,2,0.013065437078475952
228,2017,6,9,0.01328526258468628
229,2017,6,16,0.013556703329086303
230,2017,6,23,0.013883277177810668
231,2017,6,30,0.013428018093109131
232,2017,7,7,0.013379695415496827
233,2017,7,14,0.013720791339874267
234,2017,7,21,0.013563230037689208
235,2017,7,28,0.013087525367736816
236,2017,8,4,0.013725355863571168
237,2017,8,11,0.01357585072517395
238,2017,8,18,0.013716758489608764
239,2017,8,25,0.013671683073043823
240,2017,9,1,0.014318779706954957
241,2017,9,8,0.013952944278717041
242,2017,9,15,0.01432324767112732
243,2017,9,22,0.014084974527359009
244,2017,9,29,0.013672322034835815
245,2017,10,6,0.013293857574462891
246,2017,10,13,0.013399705886840821
247,2017,10,20,0.013632752895355225
248,2017,10,27,0.013102844953536988
249,2017,11,3,0.012971832752227783
250,2017,11,10,0.013426182270050048
251,2017,11,17,0.013279563188552857
252,2017,11,24,0.013433265686035156
253,2017,12,1,0.01345907211303711
254,2017,12,8,0.013713390827178954
255,2017,12,15,0.013840855360031127
256,2017,12,22,0.014227305650711059
257,2017,12,28,0.013764190673828124
258,2018,1,5,0.013541810512542725
259,2018,1,12,0.013890177011489868
260,2018,1,19,0.013408219814300537
261,2018,1,26,0.013037699460983276
262,2018,2,2,0.013505001068115235
263,2018,2,9,0.014039227962493897
264,2018,2,16,0.01465866446495056
265,2018,2,23,0.014879029989242554
266,2018,3,2,0.014025107622146607
267,2018,3,9,0.012761014699935912
268,2018,3,16,0.012484798431396485
269,2018,3,23,0.012555842399597167
270,2018,3,29,0.01193987250328064
271,2018,4,6,0.012215518951416015
272,2018,4,13,0.012194960117340089
273,2018,4,20,0.012294009923934937
274,2018,4,27,0.012614034414291382
275,2018,5,4,0.01232787847518921
276,2018,5,11,0.012353514432907104
277,2018,5,18,0.012713993787765504
278,2018,5,25,0.012070322036743164
279,2018,6,1,0.01182220220565796
280,2018,6,8,0.012322217226028442
281,2018,6,15,0.012413381338119507
282,2018,6,22,0.013400419950485229
283,2018,6,29,0.013165768384933472
284,2018,7,6,0.013247909545898438
285,2018,7,13,0.01359318733215332
286,2018,7,20,0.01393175482749939
287,2018,7,27,0.01402366042137146
288,2018,8,3,0.01514431595802307
289,2018,8,10,0.015646291971206663
290,2018,8,17,0.015268194675445556
291,2018,8,24,0.0147798490524292
292,2018,8,31,0.013286375999450683
293,2018,9,6,0.013378268480300904
294,2018,9,14,0.013860617876052856
295,2018,9,21,0.013671567440032959
296,2018,9,28,0.013930529356002808
297,2018,10,5,0.014021210670471192
298,2018,10,11,0.014598671197891235
299,2018,10,19,0.014284532070159912
300,2018,10,26,0.014085532426834106
301,2018,11,1,0.014864692687988281
302,2018,11,9,0.014639005661010743
303,2018,11,16,0.014194178581237792
304,2018,11,23,0.014047108888626099
305,2018,11,30,0.013961905241012573
306,2018,12,7,0.013757243156433105
307,2018,12,14,0.014161036014556885
308,2018,12,21,0.014610501527786255
309,2018,12,28,0.016304283142089843
310,2019,1,4,0.015532948970794679
311,2019,1,11,0.015345592498779297
312,2019,1,18,0.01463831663131714
313,2019,1,24,0.014057976007461549
314,2019,2,1,0.013337652683258056
315,2019,2,8,0.013297722339630128
316,2019,2,15,0.013699268102645873
317,2019,2,22,0.014143044948577882
318,2019,3,1,0.014321225881576537
319,2019,3,8,0.014174202680587769
320,2019,3,15,0.014442174434661866
321,2019,3,22,0.014328240156173707
322,2019,3,29,0.014301412105560303
323,2019,4,5,0.014405444860458375
324,2019,4,12,0.01437061071395874
325,2019,4,18,0.014128923416137695
326,2019,4,26,0.014050642251968384
327,2019,5,3,0.011147409677505493
328,2019,5,10,0.014043136835098266
329,2019,5,17,0.01399411916732788
330,2019,5,24,0.014405591487884522
331,2019,5,31,0.014065344333648682
332,2019,6,7,0.013318397998809815
333,2019,6,14,0.012993721961975098
334,2019,6,21,0.010451695919036864
335,2019,6,28,0.01260562777519226
336,2019,7,5,0.011986429691314698
337,2019,7,12,0.009346078038215638
338,2019,7,19,0.011883987188339233
339,2019,7,26,0.011900643110275269
340,2019,8,2,0.012200534343719482
341,2019,8,9,0.012495564222335815
342,2019,8,16,0.012554594278335572
343,2019,8,23,0.012471935749053954
344,2019,8,30,0.012405551671981811
345,2019,9,6,0.012423955202102661
346,2019,9,13,0.012768881320953369
347,2019,9,20,0.013092561960220336
348,2019,9,27,0.013240671157836914
349,2019,10,4,0.013261064291000366
350,2019,10,11,0.013054202795028686
351,2019,10,18,0.013366607427597045
352,2019,10,25,0.012894409894943237
353,2019,11,1,0.012713174819946289
354,2019,11,8,0.013041104078292847
355,2019,11,15,0.010332914590835572
356,2019,11,22,0.010117413997650147
357,2019,11,29,0.012526648044586182
358,2019,12,6,0.012636704444885254
359,2019,12,13,0.01351491093635559
360,2019,12,20,0.013326961994171143
361,2019,12,27,0.007894812226295471
362,2019,12,31,0.006733100414276123
363,2020,1,3,0.00902622401714325
364,2020,1,10,0.013347803354263306
365,2020,1,17,0.012862855195999145
366,2020,1,24,0.012523683309555054
367,2020,1,31,0.012421505451202393
368,2020,2,7,0.012836428880691529
369,2020,2,14,0.011948167085647584
370,2020,2,21,0.012100894451141358
371,2020,2,28,0.007507458925247192
372,2020,3,6,0.012943031787872315
373,2020,3,13,0.014012092351913452
374,2020,3,20,0.015840049982070923
375,2020,3,27,0.015893861055374145
376,2020,4,3,0.014435150623321534
377,2020,4,10,0.011565436124801636
378,2020,4,17,0.013945162296295166
379,2020,4,24,0.011481478214263915
380,2020,5,1,0.012281969785690308
381,2020,5,8,0.014853355884552001
382,2020,5,15,0.014907410144805908
383,2020,5,22,0.01522570252418518
384,2020,5,29,0.016066083908081053
