year,month,day,ivolbr
2014,8,5,24.51493
2014,8,6,24.60649
2014,8,7,21.4901
2014,8,8,23.2713
2014,8,11,24.36559
2014,8,12,20.74462
2014,8,13,24.983
2014,8,14,26.21092
2014,8,15,26.97872
2014,8,18,23.3069
2014,8,19,24.01889
2014,8,20,20.81582
2014,8,21,22.77927
2014,8,22,17.67103
2014,8,25,24.08423
2014,8,26,23.81462
2014,8,27,24.35555
2014,8,28,18.59771
2014,8,29,22.74047
2014,9,1,24.41799
2014,9,2,23.47951
2014,9,3,21.86566
2014,9,4,23.32651
2014,9,5,22.92779
2014,9,8,24.97939
2014,9,9,24.99574
2014,9,10,25.02831
2014,9,11,23.75392
2014,9,12,26.1842
2014,9,15,27.7179
2014,9,16,26.63278
2014,9,17,26.46003
2014,9,18,29.21901
2014,9,19,28.72984
2014,9,22,31.45053
2014,9,23,30.60701
2014,9,24,31.92473
2014,9,25,31.52898
2014,9,26,28.62211
2014,9,29,32.2661
2014,9,30,33.58354
2014,10,1,31.40212
2014,10,2,30.32233
2014,10,3,31.19781
2014,10,6,33.67412
2014,10,7,34.54527
2014,10,8,38.9012
2014,10,9,39.57715
2014,10,10,37.04913
2014,10,13,38.0068
2014,10,14,36.13118
2014,10,15,38.10336
2014,10,17,39.75861
2014,10,20,42.43776
2014,10,21,44.4336
2014,10,22,42.4012
2014,10,23,38.95589
2014,10,24,42.27152
2014,10,27,23.86888
2014,10,28,24.29741
2014,10,29,20.47047
2014,10,31,24.34574
2014,11,3,20.97179
2014,11,4,22.98608
2014,11,5,25.00269
2014,11,6,25.42291
2014,11,7,27.00048
2014,11,10,20.57797
2014,11,11,23.89872
2014,11,12,24.18353
2014,11,13,30.9932
2014,11,14,25.25497
2014,11,17,23.35638
2014,11,18,26.44544
2014,11,19,20.04694
2014,11,21,22.54894
2014,11,24,24.05158
2014,11,25,23.78
2014,11,26,20.9527
2014,11,27,21.38642
2014,11,28,21.05948
2014,12,2,20.93506
2014,12,3,
2014,12,4,22.83428
2014,12,5,18.98414
2014,12,8,23.32342
2014,12,9,30.30978
2014,12,10,23.76317
2014,12,11,25.44186
