ano,mes,dia,semana_aluguel_100
2021,3,26,.0118609
2021,4,2,.0095874
2021,4,9,.0121202
2021,4,16,.0125169
2021,4,23,.0090045
2021,4,30,.0123438
2021,5,7,.0159517
2021,5,14,.0137758
2021,5,21,.0136229
2021,5,28,.0160002
2021,6,4,.0111257
2021,6,11,.0130893
2021,6,18,.0130163
2021,6,25,.0124262
2021,7,2,.0121776
2021,7,9,.0094117
2021,7,16,.0115026
2021,7,23,.0120988
2021,7,30,.0116805
2021,8,6,.0103494
2021,8,13,.0098001
2021,8,20,.0096962
2021,8,27,.0106465
2021,9,3,.0107137
2021,9,10,.0084995
2021,9,17,.0112275
2021,9,24,.0121148
2021,10,1,.0121212
2021,10,8,.0130853
2021,10,15,.0109191
2021,10,22,.0150008
2021,10,29,.0160367
2021,11,5,.0134926
2021,11,12,.0171095
2021,11,19,.0151712
2021,11,26,.0181806
2021,12,3,.0233859
2021,12,10,.0186865
2021,12,17,.0184771
2021,12,24,.0151611
2021,12,31,.0140537
2022,1,7,.020047
2022,1,14,.0225943
2022,1,21,.0229245
2022,1,28,.024506
2022,2,4,.0275033
2022,2,11,.0272591
2022,2,18,.0256478
2022,2,25,.022217
2022,3,4,.0134301
2022,3,11,.0220604
2022,3,18,.0246227
2022,3,25,.0266158
2022,4,1,.0240634
2022,4,8,.0219057
2022,4,15,.0161885
2022,4,22,.0157954
2022,4,29,.0197044
2022,5,6,.0202666
2022,5,13,.0218233
2022,5,20,.0213511
2022,5,27,.0197478
2022,6,3,.0228492
2022,6,10,.0245038
2022,6,17,.0201174
2022,6,24,.0222526
2022,7,1,.0189902
2022,7,8,.0170666
2022,7,15,.0155717
2022,7,22,.0142528
2022,7,29,.0137161
2022,8,5,.0136075
2022,8,12,.0146777
2022,8,19,.0140997
2022,8,26,.0144718
2022,9,2,.0140881
2022,9,9,.0118464
2022,9,16,.0137078
2022,9,23,.0181185
2022,9,30,.0174951
2022,10,7,.0173282
2022,10,14,.014652
2022,10,21,.0175547
2022,10,28,.0174023
2022,11,4,.0145027
2022,11,11,.0208694
2022,11,18,.0184362
2022,11,25,.0236714
2022,12,2,.0225727
2022,12,9,.0222068
2022,12,16,.0203274
2022,12,23,.0229066
2022,12,30,.0215074
2023,1,6,.0229223
2023,1,13,.025724
2023,1,20,.0268077
2023,1,27,.0229066
2023,2,3,.0221138
2023,2,10,.0195528
2023,2,17,.019569
2023,2,24,.0119479
2023,3,3,.0204119
2023,3,10,.0201981
2023,3,17,.0200415
2023,3,24,.0204475
2023,3,31,.0193697
2023,4,7,.0148092
2023,4,14,.0173954
2023,4,21,.0128324
2023,4,28,.0158636
2023,5,5,.013427
2023,5,12,.0157435
2023,5,19,.0151118
2023,5,26,.0137055
2023,6,2,.0136926
2023,6,9,.0107707
2023,6,16,.0129474
2023,6,23,.0133719
2023,6,30,.0128242
2023,7,7,.0120709
2023,7,14,.0123668
2023,7,21,.0111184
2023,7,28,.0115671
2023,8,4,.0128754
2023,8,11,.0135245
2023,8,18,.0143613
2023,8,25,.0144779
2023,9,1,.0150663
2023,9,6,.0149656
