date,average_short_interest
2013-12-23,39.428337063885515
2013-12-26,42.13667408642622
2013-12-27,43.80602403332402
2013-12-30,40.7317669851391
2014-01-02,34.73107882448139
2014-01-03,34.42060846914903
2014-01-06,36.363478080591555
2014-01-07,36.831967001811286
2014-01-08,32.21184102353431
2014-01-09,31.368757120224718
2014-01-10,31.089401989091325
2014-01-13,30.95986892397864
2014-01-14,30.337240440249218
2014-01-15,29.72866497525596
2014-01-16,29.840023345941532
2014-01-17,30.374979979668854
2014-01-20,29.60372317665164
2014-01-21,30.059887547186744
2014-01-22,31.0251745236665
2014-01-23,29.93897593233522
2014-01-24,30.10331881638198
2014-01-27,29.98640914116625
2014-01-28,29.942970600858565
2014-01-29,29.743698810801853
2014-01-30,29.587848692166776
2014-01-31,29.553306350744037
2014-02-03,29.268124721204597
2014-02-04,29.667996358835747
2014-02-05,30.309904513620342
2014-02-06,32.02244612540664
2014-02-07,30.351468318978867
2014-02-10,30.01846895661103
2014-02-11,30.350041751122586
2014-02-12,30.25333554345194
2014-02-13,30.258612923705922
2014-02-14,30.161878626300922
2014-02-17,30.2292429291219
2014-02-18,31.005732497948696
2014-02-19,34.04635131125429
2014-02-20,35.78077955626393
2014-02-21,41.13304890406077
2014-02-24,29.37045836415062
2014-02-25,28.71000606875114
2014-02-26,28.474576421445175
2014-02-27,30.18054413686126
2014-02-28,28.452453116842477
2014-03-05,28.322465724939637
2014-03-06,28.179138790214203
2014-03-07,28.731673566677284
2014-03-10,31.329709352532408
2014-03-11,29.444720565213245
2014-03-12,30.106048897618688
2014-03-13,30.377147955237035
2014-03-14,30.755947445614204
2014-03-17,30.802908495914252
2014-03-18,31.241318350120405
2014-03-19,31.568203348153318
2014-03-20,31.003724771467425
2014-03-21,30.978208434106048
2014-03-24,30.876367097762817
2014-03-25,30.39114517835416
2014-03-26,30.690281495114945
2014-03-27,31.026388239595516
2014-03-28,30.497878726023703
2014-03-31,31.24462053261819
2014-04-01,31.480696404772516
2014-04-02,32.65217368111142
2014-04-03,36.2015163520715
2014-04-04,38.34144496451659
2014-04-07,38.85618736458748
2014-04-08,31.68683961089488
2014-04-09,30.44938259852666
2014-04-10,30.40696376659043
2014-04-11,30.223317822378522
2014-04-14,29.377956140525832
2014-04-15,32.61296066775453
2014-04-16,38.45211868805285
2014-04-17,41.09184772619563
2014-04-22,29.234495754504312
2014-04-23,29.390212001684915
2014-04-24,30.426160379438354
2014-04-25,28.483037347265597
2014-04-28,28.461829517203824
2014-04-29,28.765514973587102
2014-04-30,28.803611572031944
2014-05-02,28.439861391146007
2014-05-05,28.366528243095427
2014-05-06,28.706245731972956
2014-05-07,27.158582452441596
2014-05-08,27.01558846161246
2014-05-09,26.402745081692533
2014-05-12,25.794467629037985
2014-05-13,25.668155808419783
2014-05-14,25.64865826793764
2014-05-15,25.98524507600254
2014-05-16,26.241374415113793
2014-05-19,26.38805696419635
2014-05-20,26.518174042122546
2014-05-21,27.064281359088866
2014-05-22,28.35456844300756
2014-05-23,26.904935643096483
2014-05-26,26.99263385862926
2014-05-27,25.919566389491063
2014-05-28,25.789927766548498
2014-05-29,26.12834315606211
2014-05-30,26.60869276248003
2014-06-02,26.52541330629331
2014-06-03,26.859780258265136
2014-06-04,26.35175563536203
2014-06-05,30.062417684869224
2014-06-06,26.46917727792443
2014-06-09,26.64712335437438
2014-06-10,27.437822494558848
2014-06-11,27.672413414772496
2014-06-13,27.5904617693549
2014-06-16,27.895467706270754
2014-06-17,28.098107928709965
2014-06-18,27.460776503011356
2014-06-20,26.771628496389436
2014-06-23,26.602830336177334
2014-06-24,26.637830552795084
2014-06-25,27.253399976989083
2014-06-26,27.297274818920535
2014-06-27,27.511512287998777
2014-06-30,26.750261353569986
2014-07-01,27.499351521121206
2014-07-02,29.271902270516474
2014-07-03,34.157227149024266
2014-07-04,32.04125071375319
2014-07-07,27.25081396393399
2014-07-08,27.056331799260093
2014-07-10,26.982930352130055
2014-07-11,26.938451854049877
2014-07-14,27.164053100545406
2014-07-15,26.82240273947536
2014-07-16,26.658695941044968
2014-07-17,25.994540067781738
2014-07-18,26.107667517711707
2014-07-21,26.15472410232724
2014-07-22,25.532552736439303
2014-07-23,24.844549445621595
2014-07-24,24.158577193840248
2014-07-25,23.93466147478547
2014-07-28,23.61828279680206
