ano,mes,dia,yield_week_pc
2004,12,23,.0379397
2004,12,30,.0373888
2005,1,7,.0326713
2005,1,14,.0331413
2005,1,21,.0336397
2005,1,28,.033649
2005,2,4,.0304801
2005,2,11,.0280815
2005,2,18,.0277835
2005,2,25,.027101
2005,3,4,.0263793
2005,3,11,.0260024
2005,3,18,.0269049
2005,3,24,.0280661
2005,4,1,.0288786
2005,4,8,.0299501
2005,4,15,.0307575
2005,4,22,.0314103
2005,4,29,.0312564
2005,5,6,.033316
2005,5,13,.0340546
2005,5,20,.0341127
2005,5,27,.0341329
2005,6,3,.031455
2005,6,10,.0313298
2005,6,17,.0307211
2005,6,24,.0308132
2005,7,1,.0312003
2005,7,8,.0324397
2005,7,15,.0316344
2005,7,22,.0315233
2005,7,29,.0315028
2005,8,5,.0324124
2005,8,12,.0318204
2005,8,19,.0314375
2005,8,26,.0314773
2005,9,2,.03204
2005,9,9,.0326105
2005,9,16,.0321944
2005,9,23,.0309827
2005,9,30,.0307091
2005,10,7,.0356871
2005,10,14,.0363025
2005,10,21,.0374007
2005,10,28,.03692
2005,11,4,.0293627
2005,11,11,.0271151
2005,11,18,.0270703
2005,11,25,.0263135
2005,12,2,.0261948
2005,12,9,.0258017
2005,12,16,.0257827
2005,12,23,.02581
2005,12,29,.025746
2006,1,6,.0248795
2006,1,13,.0238423
2006,1,20,.0232748
2006,1,27,.0226487
2006,2,3,.0224139
2006,2,10,.0230936
2006,2,17,.0227969
2006,2,24,.0223682
2006,3,3,.0242967
2006,3,10,.0255794
2006,3,17,.0247157
2006,3,24,.0245394
2006,3,31,.0247969
2006,4,7,.0245478
2006,4,13,.0252488
2006,4,20,.024668
2006,4,28,.0243187
2006,5,5,.0260025
2006,5,12,.0256949
2006,5,19,.0274148
2006,5,26,.0288191
2006,6,2,.0292538
2006,6,9,.0331269
2006,6,16,.035687
2006,6,23,.0347991
2006,6,30,.033904
2006,7,7,.0328173
2006,7,14,.0335904
2006,7,21,.0339532
2006,7,28,.0328338
2006,8,4,.0303256
2006,8,11,.0296734
2006,8,18,.0298635
2006,8,25,.0306159
2006,9,1,.0305982
2006,9,8,.0329198
2006,9,15,.0336781
2006,9,22,.0342889
2006,9,29,.0340549
2006,10,6,.0300522
2006,10,13,.0292752
2006,10,20,.0291218
2006,10,27,.0287946
2006,11,3,.0298247
2006,11,10,.0300191
2006,11,17,.02979
2006,11,24,.029298
2006,12,1,.0304614
2006,12,8,.0331854
2006,12,15,.0327871
2006,12,22,.0325912
2006,12,28,.0320946
2007,1,5,.0288509
2007,1,12,.0296505
2007,1,19,.029418
2007,1,26,.0286765
2007,2,2,.0278505
2007,2,9,.0265048
2007,2,16,.0263135
2007,2,23,.0259632
2007,3,2,.0271863
2007,3,9,.0277087
2007,3,16,.0276811
2007,3,23,.0267846
2007,3,30,.0267353
2007,4,5,.0289084
2007,4,13,.0284405
2007,4,20,.0276601
2007,4,27,.0274344
2007,5,4,.0272144
2007,5,11,.0266088
2007,5,18,.0262184
2007,5,25,.0260464
2007,6,1,.0255286
2007,6,8,.0245001
2007,6,15,.024274
2007,6,22,.0238037
2007,6,29,.0240014
2007,7,6,.0240475
2007,7,13,.0236145
2007,7,20,.0235804
2007,7,27,.0251127
2007,8,3,.0257902
2007,8,10,.0260741
2007,8,17,.028107
2007,8,24,.0274489
2007,8,31,.0266127
2007,9,6,.0248047
2007,9,14,.0254552
2007,9,21,.0245069
2007,9,28,.0232918
2007,10,5,.0232107
2007,10,11,.022736
2007,10,19,.0231448
2007,10,26,.0230604
2007,11,1,.022329
2007,11,9,.0224629
2007,11,16,.0228
2007,11,23,.0237366
2007,11,30,.0234687
2007,12,7,.02085
2007,12,14,.0209681
2007,12,21,.021762
2007,12,28,.0210806
2008,1,4,.019879
2008,1,11,.0200407
2008,1,18,.0212089
2008,1,24,.0225754
2008,2,1,.0206287
2008,2,8,.0195795
2008,2,15,.0188265
2008,2,22,.0182266
2008,2,29,.0178545
2008,3,7,.0184376
2008,3,14,.01898
2008,3,20,.0197157
2008,3,28,.0195057
2008,4,4,.0196953
2008,4,11,.0197551
2008,4,18,.019753
2008,4,25,.0193813
2008,5,2,.0185435
2008,5,9,.0170129
2008,5,16,.0167013
2008,5,23,.0163898
2008,5,30,.0164943
2008,6,6,.0164414
2008,6,13,.0170348
2008,6,20,.0172964
2008,6,27,.0179079
2008,7,4,.0191431
2008,7,11,.0197889
2008,7,18,.0194802
2008,7,25,.019887
2008,8,1,.020193
2008,8,8,.0210413
2008,8,15,.0218697
2008,8,22,.0218592
2008,8,29,.0216969
2008,9,5,.0231237
2008,9,12,.0241758
2008,9,19,.0252358
2008,9,26,.0249195
2008,10,3,.0292664
2008,10,10,.0376086
2008,10,17,.0375176
2008,10,24,.0403411
2008,10,31,.0417993
2008,11,7,.0382355
2008,11,14,.0395
2008,11,21,.0416857
2008,11,28,.0395365
2008,12,5,.0375089
2008,12,12,.0347279
2008,12,19,.0344282
2008,12,26,.036473
2009,1,2,.0346931
2009,1,9,.030431
2009,1,16,.0319255
2009,1,23,.0329277
2009,1,30,.03247
2009,2,6,.0312552
2009,2,13,.0306642
2009,2,20,.0313651
2009,2,27,.0323851
2009,3,6,.0347519
2009,3,13,.0336119
2009,3,20,.0324542
2009,3,27,.0309673
2009,4,3,.0327831
2009,4,9,.0327627
2009,4,17,.0322394
2009,4,24,.0322686
2009,4,30,.0314246
2009,5,8,.0315848
2009,5,15,.0322867
2009,5,22,.0315393
2009,5,29,.0307201
2009,6,5,.0294383
2009,6,12,.0295025
2009,6,19,.0304776
2009,6,26,.0308414
2009,7,3,.0303646
2009,7,10,.0311835
2009,7,17,.0306301
2009,7,24,.0293117
