ano,mes,dia,Rm_minus_Rf
2003,11,4,.0024343
2003,11,5,-.016681
2003,11,6,.0069484
2003,11,7,.0017081
2003,11,10,-.0106677
2003,11,11,-.0014358
2003,11,12,.0168646
2003,11,13,-.0031327
2003,11,14,.0104999
2003,11,17,-.0156558
2003,11,18,.0052373
2003,11,19,-.000548
2003,11,20,.0119928
2003,11,21,.0015997
2003,11,24,.0143416
2003,11,25,.009153
2003,11,26,-.0020146
2003,11,27,.0104103
2003,11,28,.0101415
2003,12,1,.0141382
2003,12,2,-.0007284
2003,12,3,.0027714
2003,12,4,-.0026977
2003,12,5,.0159615
2003,12,8,.0063186
2003,12,9,.020852
2003,12,10,-.0112368
2003,12,11,.0103814
2003,12,12,-.0045508
2003,12,15,-.0097025
2003,12,16,-.0007423
2003,12,17,.0161945
2003,12,18,.017821
2003,12,19,.0043635
2003,12,22,.0224022
2003,12,23,-.0000256
2003,12,26,-.0001199
2003,12,29,.0090574
2003,12,30,.0056088
2004,1,2,.0137275
2004,1,5,.0492458
2004,1,6,.0096536
2004,1,7,-.0142783
2004,1,8,.0071577
2004,1,9,.0001119
2004,1,12,.0054298
2004,1,13,-.0066411
2004,1,14,-.0226022
2004,1,15,-.0200051
2004,1,16,.0061139
2004,1,19,.008457
2004,1,20,.0118915
2004,1,21,-.0183835
2004,1,22,-.0111339
2004,1,23,.0171143
2004,1,26,.0259141
2004,1,27,-.0014964
2004,1,28,-.01417
2004,1,29,-.0571938
2004,1,30,-.0192679
2004,2,2,-.0019424
2004,2,3,.0206741
2004,2,4,-.0187633
2004,2,5,-.0218445
2004,2,6,.0311931
2004,2,9,.0005516
2004,2,10,.0134967
2004,2,11,.0382724
2004,2,12,-.0003982
2004,2,13,-.0200839
2004,2,16,-.0155578
2004,2,17,.013774
2004,2,18,-.0097498
2004,2,19,-.0414934
2004,2,20,.0103735
2004,2,25,.0129475
2004,2,26,-.0092507
2004,2,27,.0185535
2004,3,1,.0334242
2004,3,2,-.0057674
2004,3,3,-.0034449
2004,3,4,-.0087736
2004,3,5,.0104506
2004,3,8,-.0030428
2004,3,9,-.0166348
2004,3,10,-.0422354
2004,3,11,-.0310265
2004,3,12,.0343258
2004,3,15,-.0245521
2004,3,16,.0121146
2004,3,17,.0178261
2004,3,18,.0177195
2004,3,19,-.0073791
2004,3,22,-.0211626
2004,3,23,-.0152469
2004,3,24,-.0103852
2004,3,25,-.0023614
2004,3,26,.0226968
2004,3,29,.0041128
2004,3,30,.0239832
2004,3,31,.0058057
2004,4,1,.0111922
2004,4,2,.0122097
2004,4,5,.0000546
2004,4,6,-.0012569
2004,4,7,-.0238377
2004,4,8,.007071
2004,4,12,.003696
2004,4,13,-.0089752
2004,4,14,-.0155751
2004,4,15,-.0184041
2004,4,16,-.0008499
2004,4,19,-.0081656
2004,4,20,-.0236536
2004,4,22,-.0068318
2004,4,23,.0170818
2004,4,26,-.0155547
2004,4,27,.0044968
2004,4,28,-.0374123
2004,4,29,-.0319783
2004,4,30,-.0140925
2004,5,3,.0072961
2004,5,4,.0178427
2004,5,5,.0043505
2004,5,6,-.0403567
2004,5,7,-.0244572
2004,5,10,-.0471515
2004,5,11,.0521264
2004,5,12,-.0053491
2004,5,13,.0136921
2004,5,14,-.0018331
2004,5,17,-.0266748
2004,5,18,.0236721
2004,5,19,.0087305
2004,5,20,-.0183563
2004,5,21,-.0018992
2004,5,24,.0226545
2004,5,25,.0093737
2004,5,26,.011294
2004,5,27,.0286271
2004,5,28,-.0060932
2004,5,31,-.001262
2004,6,1,.0064435
2004,6,2,.0039433
2004,6,3,-.0155618
2004,6,4,.0150267
2004,6,7,.0286244
2004,6,8,-.007114
2004,6,9,-.0199967
2004,6,11,-.000087
2004,6,14,-.0187029
2004,6,15,.0187435
2004,6,16,.0087942
2004,6,17,-.0041
2004,6,18,.0007053
2004,6,21,-.0056241
2004,6,22,-.0048781
2004,6,23,.0272294
2004,6,24,-.0035614
2004,6,25,.0002058
2004,6,28,-.0169715
2004,6,29,.0185862
2004,6,30,.0153302
2004,7,1,.0103422
2004,7,2,.0047598
2004,7,5,.0030304
2004,7,6,-.0192198
2004,7,7,.000752
2004,7,8,-.0101547
2004,7,12,.0236804
2004,7,13,.0039482
