ano,mes,dia,SMB
2003,8,22,.0003019
2003,8,25,.0125419
2003,8,26,.0191472
2003,8,27,-.0163174
2003,8,28,-.0162932
2003,8,29,-.0109009
2003,9,1,-.0035089
2003,9,2,.0146143
2003,9,3,.011316
2003,9,4,-.0042964
2003,9,5,.0193767
2003,9,8,.0158265
2003,9,9,.0166794
2003,9,10,.0163364
2003,9,11,-.0024856
2003,9,12,.0219081
2003,9,15,-.004684
2003,9,16,.0024305
2003,9,17,.0164808
2003,9,18,.0226582
2003,9,19,.005175
2003,9,22,.0032695
2003,9,23,.0032926
2003,9,24,-.0123318
2003,9,25,-.001895
2003,9,26,-.0026669
2003,9,29,.0057248
2003,9,30,.0112164
2003,10,1,.0011598
2003,10,2,.0196337
2003,10,3,-.0043446
2003,10,6,.0150804
2003,10,7,.0051142
2003,10,8,-.0036802
2003,10,9,-.018839
2003,10,10,.0148366
2003,10,13,.0097848
2003,10,14,-.0079948
2003,10,15,-.0134794
2003,10,16,-.0044232
2003,10,17,.0055582
2003,10,20,-.0007129
2003,10,21,.0202187
2003,10,22,-.0034953
2003,10,23,-.0102771
2003,10,24,-.0001999
2003,10,27,.0097647
2003,10,28,-.0010081
2003,10,29,.0017873
2003,10,30,-.0024346
2003,10,31,-.0121041
2003,11,3,.0197077
2003,11,4,.0084446
2003,11,5,.006651
2003,11,6,.0181404
2003,11,7,.0208113
2003,11,10,.0205878
2003,11,11,-.0144579
2003,11,12,-.0071969
2003,11,13,-.0069779
2003,11,14,.02325
2003,11,17,-.0000598
2003,11,18,.0173302
2003,11,19,.0024742
2003,11,20,.01773
2003,11,21,-.0038958
2003,11,24,.0020292
2003,11,25,.004085
2003,11,26,-.0098222
2003,11,27,.0032698
2003,11,28,.0051843
2003,12,1,.0003276
2003,12,2,-.0031959
2003,12,3,-.0119582
2003,12,4,.0040479
2003,12,5,.0169726
2003,12,8,.0153718
2003,12,9,.000247
2003,12,10,-.0166243
2003,12,11,.0132619
2003,12,12,-.0167367
2003,12,15,-.0006448
2003,12,16,.0007756
2003,12,17,.0170588
2003,12,18,-.0111197
2003,12,19,-.0244177
2003,12,22,-.0094837
2003,12,23,-.0045047
2003,12,26,.0061486
2003,12,29,.0049466
2003,12,30,.0026905
2004,1,2,.000369
2004,1,5,-.010402
2004,1,6,.0005634
2004,1,7,.0065714
2004,1,8,.0157311
2004,1,9,.0146895
2004,1,12,.0225087
2004,1,13,-.001338
2004,1,14,-.0035569
2004,1,15,.0082274
2004,1,16,-.0058564
2004,1,19,.0038122
2004,1,20,-.0084226
2004,1,21,.0026574
2004,1,22,-.0067793
2004,1,23,.0061027
2004,1,26,.0173648
2004,1,27,-.0141538
2004,1,28,.0092847
2004,1,29,-.0184155
2004,1,30,-.0096596
2004,2,2,-.0075132
2004,2,3,.0040817
2004,2,4,.0018132
2004,2,5,-.0037405
2004,2,6,.008601
2004,2,9,-.0007108
2004,2,10,-.0065131
2004,2,11,.0084084
2004,2,12,-.0031383
2004,2,13,-.0159619
2004,2,16,-.0001323
2004,2,17,-.0017952
2004,2,18,-.0177116
2004,2,19,-.0019819
2004,2,20,.0139296
2004,2,25,-.0102055
2004,2,26,.0028837
2004,2,27,-.0109271
2004,3,1,-.0023773
2004,3,2,-.0005933
2004,3,3,.0090111
2004,3,4,.0069685
2004,3,5,.0136131
2004,3,8,.0156414
2004,3,9,.0162636
2004,3,10,.0105781
2004,3,11,-.0053968
2004,3,12,.0181317
